x-axis,1,2
second,Volt,Ampere
-100.000E-09,+2.539038658E-03,+752.343431E-06
-99.000E-09,+3.515601158E-03,+740.624680E-06
-98.000E-09,+5.468726158E-03,+799.218431E-06
-97.000E-09,+5.468726158E-03,+834.374681E-06
-96.000E-09,+5.468726158E-03,+810.937181E-06
-95.000E-09,+5.468726158E-03,+775.780931E-06
-94.000E-09,+2.539038658E-03,+787.499681E-06
-93.000E-09,+2.539038658E-03,+810.937181E-06
-92.000E-09,+4.492163658E-03,+787.499681E-06
-91.000E-09,+5.468726158E-03,+775.780931E-06
-90.000E-09,+4.492163658E-03,+787.499681E-06
-89.000E-09,+4.492163658E-03,+787.499681E-06
-88.000E-09,+3.515601158E-03,+799.218431E-06
-87.000E-09,+1.562476158E-03,+775.780931E-06
-86.000E-09,+2.539038658E-03,+822.655931E-06
-85.000E-09,+5.468726158E-03,+846.093431E-06
-84.000E-09,+3.515601158E-03,+834.374681E-06
-83.000E-09,+3.515601158E-03,+810.937181E-06
-82.000E-09,+5.468726158E-03,+799.218431E-06
-81.000E-09,+3.515601158E-03,+752.343431E-06
-80.000E-09,+2.539038658E-03,+728.905930E-06
-79.000E-09,+3.515601158E-03,+740.624680E-06
-78.000E-09,+3.515601158E-03,+822.655931E-06
-77.000E-09,+5.468726158E-03,+810.937181E-06
-76.000E-09,+3.515601158E-03,+834.374681E-06
-75.000E-09,+3.515601158E-03,+787.499681E-06
-74.000E-09,+5.468726158E-03,+740.624680E-06
-73.000E-09,+4.492163658E-03,+740.624680E-06
-72.000E-09,+3.515601158E-03,+740.624680E-06
-71.000E-09,+3.515601158E-03,+752.343431E-06
-70.000E-09,+2.539038658E-03,+740.624680E-06
-69.000E-09,+1.562476158E-03,+705.468430E-06
-68.000E-09,+4.492163658E-03,+775.780931E-06
-67.000E-09,+2.539038658E-03,+846.093431E-06
-66.000E-09,+2.539038658E-03,+810.937181E-06
-65.000E-09,+4.492163658E-03,+740.624680E-06
-64.000E-09,+3.515601158E-03,+764.062181E-06
-63.000E-09,+5.468726158E-03,+799.218431E-06
-62.000E-09,+2.539038658E-03,+810.937181E-06
-61.000E-09,+5.468726158E-03,+764.062181E-06
-60.000E-09,+4.492163658E-03,+787.499681E-06
-59.000E-09,+4.492163658E-03,+799.218431E-06
-58.000E-09,+6.445288658E-03,+834.374681E-06
-57.000E-09,+6.445288658E-03,+799.218431E-06
-56.000E-09,+3.515601158E-03,+799.218431E-06
-55.000E-09,+3.515601158E-03,+764.062181E-06
-54.000E-09,+5.468726158E-03,+740.624680E-06
-53.000E-09,+4.492163658E-03,+717.187180E-06
-52.000E-09,+3.515601158E-03,+693.749680E-06
-51.000E-09,+3.515601158E-03,+728.905930E-06
-50.000E-09,+4.492163658E-03,+728.905930E-06
-49.000E-09,+4.492163658E-03,+740.624680E-06
-48.000E-09,+4.492163658E-03,+764.062181E-06
-47.000E-09,+3.515601158E-03,+775.780931E-06
